time,A0,A1,A2,A5,A6,A7,X,Y,Z
0.0,3.02,1.87,0.28,2.45,0.14,0.0,-0.629333,0.844733,1.169218
0.046863,2.95,1.8,0.0,1.87,0.0,0.0,-0.629225,0.844531,1.169302
0.078058,2.95,1.8,0.07,2.16,0.0,0.0,-0.629148,0.844372,1.169372
0.109227,3.02,1.65,0.0,2.01,0.0,0.0,-0.629085,0.844232,1.169426
0.140454,3.17,1.8,0.07,2.3,0.07,0.0,-0.629038,0.844166,1.169454
0.17169,3.24,1.8,0.0,2.3,0.0,0.0,-0.628985,0.84416,1.169486
0.202877,3.39,1.94,0.14,2.52,0.21,0.0,-0.628951,0.844213,1.169535
0.24969,3.53,2.01,0.07,2.45,0.21,0.0,-0.628725,0.844294,1.169744
0.281049,3.6,2.16,0.14,2.66,0.36,0.0,-0.62857,0.844264,1.169816
0.312403,3.82,2.09,0.07,2.66,0.36,0.0,-0.628324,0.844072,1.170079
0.34365,3.82,2.3,0.14,2.74,0.5,0.0,-0.628247,0.843795,1.170219
0.374839,4.03,2.3,0.07,2.66,0.57,0.0,-0.628265,0.843706,1.170316
0.406137,4.11,2.52,0.14,2.88,0.64,0.0,-0.628336,0.843614,1.17046
0.437341,4.25,2.52,0.07,2.81,0.64,0.07,-0.628352,0.843656,1.17054
0.471892,4.32,2.66,0.14,2.95,0.86,0.21,-0.628438,0.843924,1.17072
0.503464,4.54,2.66,0.07,2.95,0.79,0.28,-0.628562,0.844065,1.170782
0.550217,4.61,2.88,0.07,3.1,1.0,0.43,-0.628601,0.844158,1.170907
0.581372,4.76,2.81,0.07,3.1,1.0,0.43,-0.628623,0.844167,1.17104
0.612793,4.83,3.02,0.14,3.17,1.15,0.57,-0.628616,0.844175,1.171097
0.64389,4.97,3.02,0.07,3.17,1.15,0.64,-0.628659,0.844209,1.171162
0.675235,5.04,3.17,0.07,3.24,1.15,0.72,-0.628678,0.844193,1.171163
0.706195,5.26,3.17,0.07,3.31,1.29,0.86,-0.62873,0.844108,1.171199
0.753237,5.26,3.31,0.07,3.31,1.44,0.86,-0.628738,0.844024,1.171222
0.784486,5.48,3.39,0.07,3.46,1.51,1.0,-0.628726,0.844023,1.171232
0.81577,5.48,3.6,0.07,3.53,1.58,1.08,-0.628666,0.844133,1.171232
0.847055,5.77,3.67,0.14,3.6,1.73,1.29,-0.628623,0.844189,1.171177
0.878305,5.84,3.67,0.0,3.53,1.73,1.22,-0.628586,0.844361,1.171116
0.909395,5.91,3.75,0.07,3.75,1.87,1.51,-0.628602,0.844419,1.171088
0.94079,6.05,3.75,0.07,3.67,1.87,1.51,-0.628698,0.844437,1.171106
