time,A0,A1,A2,A5,A6,A7
0.0,3.02,1.87,0.28,2.45,0.14,0.0
0.046863,2.95,1.8,0.0,1.87,0.0,0.0
0.078058,2.95,1.8,0.07,2.16,0.0,0.0
0.109227,3.02,1.65,0.0,2.01,0.0,0.0
0.140454,3.17,1.8,0.07,2.3,0.07,0.0
0.17169,3.24,1.8,0.0,2.3,0.0,0.0
0.202877,3.39,1.94,0.14,2.52,0.21,0.0
0.24969,3.53,2.01,0.07,2.45,0.21,0.0
0.281049,3.6,2.16,0.14,2.66,0.36,0.0
0.312403,3.82,2.09,0.07,2.66,0.36,0.0
0.34365,3.82,2.3,0.14,2.74,0.5,0.0
0.374839,4.03,2.3,0.07,2.66,0.57,0.0
0.406137,4.11,2.52,0.14,2.88,0.64,0.0
0.437341,4.25,2.52,0.07,2.81,0.64,0.07
0.471892,4.32,2.66,0.14,2.95,0.86,0.21
0.503464,4.54,2.66,0.07,2.95,0.79,0.28
0.550217,4.61,2.88,0.07,3.1,1.0,0.43
0.581372,4.76,2.81,0.07,3.1,1.0,0.43
0.612793,4.83,3.02,0.14,3.17,1.15,0.57
0.64389,4.97,3.02,0.07,3.17,1.15,0.64
0.675235,5.04,3.17,0.07,3.24,1.15,0.72
0.706195,5.26,3.17,0.07,3.31,1.29,0.86
0.753237,5.26,3.31,0.07,3.31,1.44,0.86
0.784486,5.48,3.39,0.07,3.46,1.51,1.0
0.81577,5.48,3.6,0.07,3.53,1.58,1.08
0.847055,5.77,3.67,0.14,3.6,1.73,1.29
0.878305,5.84,3.67,0.0,3.53,1.73,1.22
0.909395,5.91,3.75,0.07,3.75,1.87,1.51
0.94079,6.05,3.75,0.07,3.67,1.87,1.51
0.974502,6.2,3.96,0.07,3.82,2.01,1.65
0.990128,6.34,3.89,0.07,3.75,1.94,1.73
1.021559,6.42,4.18,0.07,3.96,2.09,1.8
1.052902,6.63,4.11,0.0,3.89,2.16,1.8
1.083991,6.63,4.32,0.07,4.03,2.3,1.87
1.115288,6.85,4.25,0.07,4.03,2.3,1.94
1.146564,6.85,4.54,0.07,4.11,2.52,2.09
1.177812,7.06,4.32,0.07,4.03,2.45,2.09
1.224591,7.14,4.61,0.07,4.18,2.66,2.23
1.255763,7.35,4.47,0.07,4.11,2.59,2.3
1.287177,7.35,4.76,0.07,4.25,2.74,2.38
1.318411,7.57,4.68,0.07,4.11,2.74,2.45
1.349692,7.64,4.97,0.07,4.25,2.88,2.59
1.380659,7.86,4.83,0.07,4.18,2.95,2.59
1.427533,7.79,5.12,0.07,4.25,3.1,2.74
1.459902,8.0,4.97,0.07,4.25,3.1,2.74
1.493424,7.93,5.26,0.07,4.4,3.24,2.88
1.525946,8.29,5.19,0.07,4.32,3.24,2.95
1.557061,8.22,5.41,0.07,4.47,3.39,3.02
1.588368,8.51,5.33,0.0,4.4,3.39,3.02
1.619489,8.51,5.62,0.0,4.61,3.53,3.17
