A0,A1,A2,A5,A6,A7
00.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
0.14,0.00,0.00,0.00,0.00,0.00
0.28,0.00,0.00,0.00,0.00,0.00
0.43,0.07,0.00,0.00,0.00,0.00
0.43,0.07,0.00,0.00,0.00,0.00
0.57,0.21,0.00,0.00,0.00,0.07
0.72,0.28,0.00,0.00,0.00,0.07
0.86,0.50,0.00,0.00,0.00,0.14
0.93,0.50,0.00,0.21,0.14,0.21
1.15,0.64,0.00,0.28,0.14,0.28
1.22,0.64,0.00,0.64,0.21,0.43
1.37,0.86,0.00,0.72,0.28,0.43
1.51,0.86,0.00,1.00,0.36,0.50
1.58,1.00,0.00,1.08,0.57,0.57
1.73,1.00,0.00,0.79,0.57,0.57
1.94,1.22,0.00,0.86,0.57,0.64
2.01,1.15,0.00,1.51,0.64,0.86
2.09,1.37,0.00,1.58,0.72,0.86
2.30,1.44,0.00,1.58,0.93,1.00
2.45,1.58,0.00,1.58,1.00,1.08
2.66,1.65,0.00,1.80,1.22,1.22
2.66,1.58,0.00,1.73,1.22,1.29
2.88,1.80,0.00,1.87,1.51,1.44
3.02,1.80,0.00,1.94,1.51,1.51
3.10,1.94,0.00,2.01,1.65,1.65
3.31,2.01,0.00,1.94,1.58,1.65
3.39,2.23,0.00,2.09,1.73,1.80
3.46,2.16,0.00,2.09,1.80,1.87
3.67,2.30,0.00,2.23,1.87,1.94
3.82,2.30,0.00,2.16,1.87,1.94
3.89,2.45,0.00,2.30,2.01,2.09
4.03,2.45,0.00,2.30,2.01,2.16
4.18,2.74,0.00,2.38,2.23,2.30
4.32,2.59,0.00,2.38,2.23,2.30
4.54,2.81,0.00,2.45,2.38,2.45
4.61,2.74,0.00,2.52,2.38,2.52
