Format Version,1.1,Take Name,Take 2025-06-30 05.13.35 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-06-30 05.13.35.279 PM,Total Frames,401,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
800,6.666667,-0.725760,1.414565,0.561386
801,6.675000,-0.725757,1.414571,0.561387
802,6.683333,-0.725736,1.414553,0.561378
803,6.691667,-0.725727,1.414534,0.561377
804,6.700000,-0.725725,1.414528,0.561371
805,6.708333,-0.725711,1.414518,0.561369
806,6.716667,-0.725703,1.414519,0.561364
807,6.725000,-0.725676,1.414506,0.561359
808,6.733333,-0.725665,1.414508,0.561364
809,6.741667,-0.725655,1.414506,0.561361
810,6.750000,-0.725650,1.414519,0.561357
811,6.758333,-0.725649,1.414509,0.561354
812,6.766667,-0.725647,1.414510,0.561353
813,6.775000,-0.725666,1.414519,0.561359
814,6.783333,-0.725679,1.414518,0.561359
815,6.791667,-0.725680,1.414542,0.561363
816,6.800000,-0.725712,1.414565,0.561376
817,6.808333,-0.725727,1.414569,0.561375
818,6.816667,-0.725737,1.414574,0.561388
819,6.825000,-0.725749,1.414566,0.561388
820,6.833333,-0.725749,1.414559,0.561388
821,6.841667,-0.725754,1.414548,0.561377
822,6.850000,-0.725770,1.414541,0.561383
823,6.858333,-0.725743,1.414521,0.561376
824,6.866667,-0.725728,1.414517,0.561372
825,6.875000,-0.725736,1.414533,0.561371
826,6.883333,-0.725714,1.414521,0.561364
827,6.891667,-0.725694,1.414506,0.561359
828,6.900000,-0.725668,1.414490,0.561354
829,6.908333,-0.725667,1.414471,0.561348
830,6.916667,-0.725678,1.414488,0.561349
831,6.925000,-0.725663,1.414498,0.561352
832,6.933333,-0.725650,1.414510,0.561360
833,6.941667,-0.725650,1.414524,0.561365
834,6.950000,-0.725665,1.414545,0.561372
835,6.958333,-0.725681,1.414565,0.561375
836,6.966667,-0.725688,1.414585,0.561380
837,6.975000,-0.725700,1.414580,0.561379
838,6.983333,-0.725721,1.414573,0.561378
839,6.991667,-0.725730,1.414575,0.561386
840,7.000000,-0.725746,1.414575,0.561384
841,7.008333,-0.725734,1.414566,0.561374
842,7.016667,-0.725743,1.414557,0.561375
843,7.025000,-0.725750,1.414537,0.561372
844,7.033333,-0.725748,1.414527,0.561365
845,7.041667,-0.725743,1.414500,0.561358
846,7.050000,-0.725724,1.414483,0.561356
847,7.058333,-0.725706,1.414465,0.561346
848,7.066667,-0.725702,1.414464,0.561352
849,7.075000,-0.725699,1.414478,0.561354
850,7.083333,-0.725688,1.414483,0.561357
851,7.091667,-0.725643,1.414497,0.561360
852,7.100000,-0.725554,1.414513,0.561362
853,7.108333,-0.725440,1.414552,0.561365
854,7.116667,-0.725242,1.414615,0.561397
855,7.125000,-0.724976,1.414674,0.561503
856,7.133333,-0.724690,1.414731,0.561654
857,7.141667,-0.724425,1.414777,0.561819
858,7.150000,-0.724137,1.414794,0.561937
859,7.158333,-0.723810,1.414778,0.562006
860,7.166667,-0.723513,1.414781,0.562095
861,7.175000,-0.723170,1.414787,0.562193
862,7.183333,-0.722790,1.414771,0.562230
863,7.191667,-0.722345,1.414740,0.562179
864,7.200000,-0.721844,1.414734,0.562057
865,7.208333,-0.721218,1.414729,0.561906
866,7.216667,-0.720455,1.414721,0.561754
867,7.225000,-0.719541,1.414677,0.561625
868,7.233333,-0.718394,1.414655,0.561509
869,7.241667,-0.717035,1.414643,0.561445
870,7.250000,-0.715371,1.414689,0.561421
871,7.258333,-0.713416,1.414716,0.561460
872,7.266667,-0.711266,1.414764,0.561690
873,7.275000,-0.708925,1.414840,0.561981
874,7.283333,-0.706400,1.414914,0.562407
875,7.291667,-0.703731,1.414955,0.562964
876,7.300000,-0.700870,1.414980,0.563703
877,7.308333,-0.698071,1.415027,0.564595
878,7.316667,-0.695280,1.415020,0.565606
879,7.325000,-0.692580,1.415003,0.566678
880,7.333333,-0.690253,1.415003,0.567619
881,7.341667,-0.688411,1.415013,0.568066
882,7.350000,-0.687085,1.414953,0.568107
883,7.358333,-0.686483,1.414889,0.567924
884,7.366667,-0.686665,1.414896,0.567534
885,7.375000,-0.687663,1.414857,0.566864
886,7.383333,-0.689512,1.414824,0.565897
887,7.391667,-0.692302,1.414764,0.564805
888,7.400000,-0.695581,1.414716,0.563885
889,7.408333,-0.698945,1.414883,0.563080
890,7.416667,-0.702561,1.414934,0.562347
891,7.425000,-0.706372,1.414861,0.561501
892,7.433333,-0.710400,1.414711,0.560583
893,7.441667,-0.714366,1.414575,0.559562
894,7.450000,-0.717947,1.414410,0.558536
895,7.458333,-0.717509,1.412341,0.554813
