Format Version,1.1,Take Name,Take 2025-06-26 05.43.44 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2025-06-26 05.43.44.093 PM,Total Frames,251,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,-0.628381,1.169559,0.840127
1,0.019608,-0.628418,1.169548,0.840107
2,0.039216,-0.628404,1.169564,0.840101
3,0.058824,-0.628375,1.169574,0.840092
4,0.078431,-0.628300,1.169561,0.840093
5,0.098039,-0.628254,1.169536,0.840081
6,0.117647,-0.628197,1.169530,0.840074
7,0.137255,-0.628178,1.169552,0.840057
8,0.156863,-0.628153,1.169584,0.840023
9,0.176471,-0.628160,1.169584,0.840002
10,0.196078,-0.628195,1.169605,0.839970
11,0.215686,-0.628216,1.169605,0.839945
12,0.235294,-0.628267,1.169607,0.839918
13,0.254902,-0.628304,1.169579,0.839894
14,0.274510,-0.628383,1.169570,0.839887
15,0.294118,-0.628420,1.169600,0.839895
16,0.313725,-0.628444,1.169618,0.839906
17,0.333333,-0.628430,1.169630,0.839926
18,0.352941,-0.628401,1.169608,0.839945
19,0.372549,-0.628337,1.169593,0.839981
20,0.392157,-0.628271,1.169564,0.840012
21,0.411765,-0.628203,1.169564,0.840037
22,0.431373,-0.628139,1.169554,0.840051
23,0.450980,-0.628145,1.169552,0.840074
24,0.470588,-0.628134,1.169537,0.840088
25,0.490196,-0.628210,1.169567,0.840103
26,0.509804,-0.628256,1.169549,0.840095
27,0.529412,-0.628326,1.169558,0.840092
28,0.549020,-0.628367,1.169549,0.840086
29,0.568627,-0.628384,1.169568,0.840089
30,0.588235,-0.628415,1.169566,0.840074
31,0.607843,-0.628395,1.169539,0.840058
32,0.627451,-0.628388,1.169529,0.840054
33,0.647059,-0.628349,1.169532,0.840057
34,0.666667,-0.628314,1.169575,0.840068
35,0.686275,-0.628276,1.169591,0.840076
36,0.705882,-0.628214,1.169569,0.840082
37,0.725490,-0.628174,1.169554,0.840104
38,0.745098,-0.628144,1.169536,0.840130
39,0.764706,-0.628142,1.169523,0.840136
40,0.784314,-0.628195,1.169496,0.840166
41,0.803922,-0.628246,1.169495,0.840165
42,0.823529,-0.628321,1.169537,0.840204
43,0.843137,-0.628388,1.169552,0.840206
44,0.862745,-0.628443,1.169554,0.840199
45,0.882353,-0.628463,1.169531,0.840184
46,0.901961,-0.628420,1.169549,0.840175
47,0.921569,-0.628353,1.169524,0.840167
48,0.941176,-0.628292,1.169532,0.840151
49,0.960784,-0.628238,1.169511,0.840117
50,0.980392,-0.628197,1.169519,0.840119
51,1.000000,-0.628170,1.169542,0.840101
52,1.019608,-0.628179,1.169560,0.840121
53,1.039216,-0.628197,1.169566,0.840130
54,1.058824,-0.628206,1.169554,0.840138
55,1.078431,-0.628222,1.169544,0.840160
56,1.098039,-0.628273,1.169522,0.840175
57,1.117647,-0.628323,1.169497,0.840201
58,1.137255,-0.628385,1.169480,0.840221
59,1.156863,-0.628423,1.169502,0.840233
60,1.176471,-0.628443,1.169531,0.840265
61,1.196078,-0.628438,1.169540,0.840272
62,1.215686,-0.628399,1.169523,0.840256
63,1.235294,-0.628346,1.169533,0.840241
64,1.254902,-0.628253,1.169519,0.840215
65,1.274510,-0.628182,1.169528,0.840196
66,1.294118,-0.628139,1.169493,0.840160
67,1.313725,-0.628129,1.169526,0.840138
68,1.333333,-0.628156,1.169543,0.840135
69,1.352941,-0.628211,1.169572,0.840133
70,1.372549,-0.628286,1.169549,0.840128
71,1.392157,-0.628334,1.169551,0.840149
72,1.411765,-0.628367,1.169544,0.840171
73,1.431373,-0.628379,1.169543,0.840216
74,1.450980,-0.628378,1.169495,0.840228
75,1.470588,-0.628374,1.169469,0.840276
76,1.490196,-0.628350,1.169471,0.840304
77,1.509804,-0.628331,1.169496,0.840339
78,1.529412,-0.628299,1.169485,0.840356
79,1.549020,-0.628262,1.169504,0.840364
80,1.568627,-0.628183,1.169496,0.840354
81,1.588235,-0.628150,1.169495,0.840345
82,1.607843,-0.628121,1.169472,0.840319
83,1.627451,-0.628135,1.169460,0.840295
84,1.647059,-0.628163,1.169475,0.840269
85,1.666667,-0.628232,1.169484,0.840255
86,1.686275,-0.628321,1.169524,0.840261
87,1.705882,-0.628396,1.169529,0.840251
88,1.725490,-0.628455,1.169556,0.840263
89,1.745098,-0.628448,1.169512,0.840268
90,1.764706,-0.628408,1.169508,0.840302
91,1.784314,-0.628362,1.169470,0.840317
92,1.803922,-0.627303,1.169388,0.840289
93,1.823529,-0.626176,1.168932,0.842331
94,1.843137,-0.628916,1.166684,0.845267
95,1.862745,-0.633715,1.166857,0.853447
