X,Y,Z,A0,A1,A2,A5,A6,A7
0.000000,-0.759297,0.419074,3.31,2.01,0.0,1.94,1.58,1.65
0.058824,-0.759205,0.418863,3.39,2.23,0.0,2.09,1.73,1.8
0.117647,-0.759242,0.419042,3.46,2.16,0.0,2.09,1.8,1.87
0.176471,-0.759302,0.419248,3.67,2.3,0.0,2.23,1.87,1.94
0.235294,-0.759177,0.418970,3.82,2.3,0.0,2.16,1.87,1.94
0.294118,-0.759289,0.418902,3.89,2.45,0.0,2.3,2.01,2.09
0.352941,-0.759324,0.419240,4.03,2.45,0.0,2.3,2.01,2.16
0.411765,-0.759161,0.419132,4.18,2.74,0.0,2.38,2.23,2.3
0.470588,-0.759197,0.418879,4.32,2.59,0.0,2.38,2.23,2.3
0.529412,-0.759367,0.419107,4.54,2.81,0.0,2.45,2.38,2.45
0.588235,-0.759194,0.419104,4.61,2.74,0.0,2.52,2.38,2.52
0.647059,-0.759159,0.418989,4.76,2.95,0.0,2.59,2.59,2.66
0.705882,-0.759359,0.419043,4.9,3.02,0.0,2.59,2.52,2.59
0.764706,-0.759223,0.419134,5.04,3.24,0.0,2.74,2.66,2.81
0.823529,-0.759103,0.419057,5.12,3.17,0.0,2.74,2.66,2.81
0.882353,-0.759335,0.419105,5.33,3.39,0.0,2.81,2.81,2.95
0.941176,-0.759343,0.419047,5.48,3.24,0.0,2.81,2.74,2.95
1.000000,-0.759090,0.419036,5.55,3.53,0.0,2.88,2.95,3.1
1.058824,-0.759279,0.419099,5.69,3.46,0.0,2.88,2.95,3.1
1.117647,-0.759359,0.419055,5.84,3.67,0.0,2.95,3.1,3.17
1.176471,-0.759135,0.419001,6.05,3.6,0.0,2.95,3.02,3.17
1.235294,-0.759251,0.418936,6.05,3.89,0.0,2.95,3.17,3.24
1.294118,-0.759390,0.419114,6.27,3.82,0.0,3.1,3.1,3.31
1.352941,-0.759176,0.419026,6.34,4.03,0.0,3.17,3.24,3.46
1.411765,-0.759177,0.418913,6.56,3.96,0.0,3.31,3.24,3.46
1.470588,-0.759398,0.419102,6.63,4.11,0.0,3.31,3.39,3.53
1.529412,-0.759261,0.418962,6.85,4.32,0.0,3.53,3.6,3.75
1.588235,-0.759151,0.418914,6.92,4.25,0.0,3.39,3.53,3.75
1.647059,-0.759351,0.419077,7.14,4.4,0.0,3.6,3.67,4.03
1.705882,-0.759306,0.418977,7.21,4.4,0.0,3.46,3.6,4.03
1.764706,-0.759166,0.418950,7.35,4.68,0.0,3.6,3.75,4.18
1.823529,-0.759302,0.419151,7.5,4.47,0.0,3.46,3.67,4.18
1.882353,-0.759349,0.418975,7.64,4.68,0.0,3.67,3.89,4.4
1.941176,-0.759144,0.418904,7.79,4.61,0.0,3.6,3.82,4.32
2.000000,-0.759245,0.419203,7.79,4.9,0.0,3.75,4.03,4.54
2.058824,-0.759331,0.419085,7.93,4.76,0.0,3.75,3.89,4.47
2.117647,-0.759129,0.418887,8.07,5.12,0.0,3.89,4.11,4.68
2.176471,-0.759193,0.419123,8.29,4.97,0.0,3.89,4.11,4.61
2.235294,-0.759276,0.419225,8.44,5.26,0.0,3.96,4.32,4.83
2.294118,-0.759154,0.418939,8.58,5.12,0.0,3.96,4.25,4.83
2.352941,-0.759252,0.418969,8.65,5.41,0.0,4.11,4.47,4.97
2.411765,-0.759326,0.419158,8.87,5.33,0.0,4.03,4.4,5.04
2.470588,-0.759226,0.419030,8.94,5.62,0.0,4.18,4.61,5.19
2.529412,-0.759232,0.418899,9.16,5.48,0.0,4.11,4.47,5.04
2.588235,-0.759339,0.419090,9.23,5.84,0.0,4.25,4.68,5.26
2.647059,-0.759199,0.419069,9.3,5.62,0.0,4.25,4.68,5.26
2.705882,-0.759148,0.419052,9.37,5.91,0.0,4.4,4.97,5.48
2.764706,-0.759010,0.419419,9.59,5.84,0.0,4.32,4.83,5.41
2.823529,-0.758876,0.419547,9.66,6.13,0.0,4.47,5.04,5.69
2.882353,-0.758716,0.419904,9.81,5.91,0.0,4.47,4.97,5.55
2.941176,-0.758664,0.419961,9.95,6.27,0.0,4.61,5.19,5.77
3.000000,-0.758574,0.420033,10.09,6.13,0.0,4.54,5.12,5.77
3.058824,-0.758394,0.420384,10.24,6.49,0.0,4.68,5.26,5.91
3.117647,-0.758301,0.420506,10.38,6.34,0.0,4.61,5.19,5.91
3.176471,-0.758335,0.420730,10.53,6.63,0.0,4.76,5.41,6.05
3.235294,-0.758445,0.420899,10.74,6.49,0.0,4.68,5.33,6.05
3.294118,-0.758523,0.421041,10.74,6.85,0.0,4.83,5.62,6.27
3.352941,-0.758475,0.421259,11.03,6.7,0.0,4.76,5.55,6.2
3.411765,-0.758537,0.421589,11.03,7.06,0.0,4.9,5.77,6.42
3.470588,-0.758464,0.421650,11.25,6.78,0.0,4.83,5.62,6.27
3.529412,-0.758349,0.421699,11.25,7.21,0.0,4.97,5.84,6.49
3.588235,-0.758416,0.422189,11.47,6.92,0.0,4.9,5.69,6.34
3.647059,-0.758375,0.422241,11.61,7.43,0.0,5.12,5.91,6.63
3.705882,-0.758097,0.422215,11.75,7.21,0.0,5.12,5.77,6.56
3.764706,-0.758031,0.422482,11.83,7.57,0.0,5.26,6.05,6.78
3.823529,-0.757955,0.422863,12.11,7.35,0.0,5.12,5.98,6.7
3.882353,-0.757683,0.422852,12.11,7.71,0.0,5.41,6.2,6.92
3.941176,-0.757750,0.422817,12.26,7.5,0.0,5.26,6.05,6.78
4.000000,-0.757981,0.423218,12.33,7.86,0.0,5.48,6.34,7.14
4.058824,-0.757708,0.423369,12.55,7.64,0.0,5.41,6.2,7.06
4.117647,-0.757544,0.423382,12.62,8.07,0.0,5.55,6.49,7.21
4.176471,-0.757701,0.423662,12.91,7.71,0.0,5.41,6.34,7.06
4.235294,-0.757396,0.423844,12.91,8.29,0.0,5.62,6.63,7.28
4.294118,-0.757132,0.423860,13.05,8.0,0.0,5.55,6.42,7.21
4.352941,-0.757354,0.424234,13.2,8.36,0.0,5.69,6.63,7.5
4.411765,-0.757368,0.424332,13.34,8.07,0.0,5.55,6.49,7.43
4.470588,-0.757228,0.424148,13.41,8.58,0.0,5.84,6.78,7.64
4.529412,-0.757373,0.424821,13.63,8.29,0.0,5.69,6.63,7.57
4.588235,-0.757256,0.425053,13.63,8.65,0.0,5.91,6.92,7.86
4.647059,-0.756826,0.424750,13.92,8.36,0.0,5.77,6.7,7.71
4.705882,-0.756967,0.425241,13.99,8.87,0.0,6.05,6.99,8.0
4.764706,-0.757219,0.425665,14.21,8.65,0.0,5.84,6.85,7.86
4.823529,-0.756912,0.425402,14.21,9.01,0.0,6.05,7.21,8.15
4.882353,-0.757075,0.425584,14.5,8.72,0.0,5.91,6.99,8.07
4.941176,-0.757384,0.426116,14.42,9.23,0.0,6.05,7.28,8.29
5.000000,-0.756866,0.425957,14.64,8.87,0.0,6.05,7.14,8.15
5.058824,-0.756588,0.426011,14.78,9.37,0.0,6.2,7.43,8.44
5.117647,-0.756971,0.426388,15.0,9.16,0.0,6.13,7.28,8.36
5.176471,-0.756824,0.426353,15.0,9.52,0.0,6.27,7.5,8.58
5.235294,-0.756536,0.426446,15.36,9.3,0.0,6.2,7.35,8.51
5.294118,-0.756746,0.426853,15.29,9.73,0.0,6.34,7.64,8.65
5.352941,-0.756677,0.426939,15.58,9.45,0.0,6.34,7.5,8.58
5.411765,-0.756390,0.426908,15.58,9.88,0.0,6.49,7.79,8.87
5.470588,-0.756663,0.427393,15.87,9.73,0.0,6.42,7.57,8.8
5.529412,-0.756614,0.427554,15.79,10.02,0.0,6.56,7.93,8.94
5.588235,-0.756249,0.427435,16.15,9.66,0.0,6.49,7.71,8.8
5.647059,-0.756592,0.427863,16.08,10.24,0.0,6.63,8.07,9.16
5.705882,-0.756713,0.428217,16.37,9.88,0.0,6.49,7.86,8.94
5.764706,-0.756411,0.428109,16.37,10.31,0.0,6.78,8.22,9.3
5.823529,-0.756394,0.428308,16.66,10.02,0.0,6.63,8.0,9.08
5.882353,-0.756545,0.428792,16.66,10.6,0.0,6.85,8.36,9.45
5.941176,-0.756457,0.428717,16.95,10.24,0.0,6.63,8.15,9.23
6.000000,-0.756640,0.428766,16.95,10.67,0.0,6.92,8.44,9.52
6.058824,-0.756995,0.429188,17.31,10.38,0.0,6.78,8.29,9.37
6.117647,-0.756798,0.429262,17.24,10.96,0.0,6.99,8.58,9.66
6.176471,-0.756670,0.429226,17.45,10.53,0.0,6.85,8.36,9.45
6.235294,-0.757076,0.429483,17.45,11.03,0.0,7.06,8.72,9.81
6.294118,-0.756933,0.429637,17.74,10.67,0.0,6.99,8.51,9.66
6.352941,-0.756653,0.429694,17.67,11.25,0.0,7.14,8.87,9.95
6.411765,-0.756951,0.430025,18.03,10.74,0.0,6.99,8.65,9.73
6.470588,-0.757053,0.430103,17.96,11.32,0.0,7.21,9.08,10.02
