Format Version,1.1,Take Name,Take 2025-06-19 02.14.31 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2025-06-19 02.14.31.651 PM,Total Frames,34911,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,-0.629333,1.169218,0.844733
1,0.019608,-0.629251,1.169269,0.844620
2,0.039216,-0.629225,1.169302,0.844531
3,0.058824,-0.629201,1.169369,0.844454
4,0.078431,-0.629148,1.169372,0.844372
5,0.098039,-0.629109,1.169383,0.844295
6,0.117647,-0.629085,1.169426,0.844232
7,0.137255,-0.629038,1.169454,0.844166
8,0.156863,-0.629010,1.169499,0.844152
9,0.176471,-0.628985,1.169486,0.844160
10,0.196078,-0.628951,1.169535,0.844213
11,0.215686,-0.628880,1.169618,0.844266
12,0.235294,-0.628811,1.169689,0.844298
13,0.254902,-0.628725,1.169744,0.844294
14,0.274510,-0.628570,1.169816,0.844264
15,0.294118,-0.628429,1.169966,0.844196
16,0.313725,-0.628324,1.170079,0.844072
17,0.333333,-0.628261,1.170143,0.843921
18,0.352941,-0.628247,1.170219,0.843795
19,0.372549,-0.628265,1.170316,0.843706
20,0.392157,-0.628311,1.170406,0.843641
21,0.411765,-0.628336,1.170460,0.843614
22,0.431373,-0.628352,1.170540,0.843656
23,0.450980,-0.628388,1.170623,0.843765
24,0.470588,-0.628438,1.170720,0.843924
25,0.490196,-0.628502,1.170770,0.844021
26,0.509804,-0.628562,1.170782,0.844065
27,0.529412,-0.628571,1.170824,0.844122
28,0.549020,-0.628601,1.170907,0.844158
29,0.568627,-0.628605,1.171001,0.844175
30,0.588235,-0.628623,1.171040,0.844167
31,0.607843,-0.628616,1.171097,0.844175
32,0.627451,-0.628635,1.171115,0.844180
33,0.647059,-0.628659,1.171162,0.844209
34,0.666667,-0.628678,1.171163,0.844193
35,0.686275,-0.628725,1.171188,0.844161
36,0.705882,-0.628730,1.171199,0.844108
37,0.725490,-0.628755,1.171224,0.844074
38,0.745098,-0.628738,1.171222,0.844024
39,0.764706,-0.628753,1.171234,0.844008
40,0.784314,-0.628726,1.171232,0.844023
41,0.803922,-0.628688,1.171229,0.844070
42,0.823529,-0.628666,1.171232,0.844133
43,0.843137,-0.628623,1.171177,0.844189
44,0.862745,-0.628610,1.171141,0.844282
45,0.882353,-0.628586,1.171116,0.844361
46,0.901961,-0.628602,1.171088,0.844419
47,0.921569,-0.628652,1.171062,0.844449
48,0.941176,-0.628698,1.171106,0.844437
49,0.960784,-0.628762,1.171099,0.844400
50,0.980392,-0.628797,1.171157,0.844344
51,1.000000,-0.628796,1.171157,0.844256
52,1.019608,-0.628795,1.171190,0.844171
53,1.039216,-0.628748,1.171203,0.844089
54,1.058824,-0.628684,1.171223,0.844018
55,1.078431,-0.628656,1.171243,0.843962
56,1.098039,-0.628631,1.171239,0.843940
57,1.117647,-0.628615,1.171256,0.843939
58,1.137255,-0.628597,1.171258,0.843989
59,1.156863,-0.628604,1.171231,0.844058
60,1.176471,-0.628610,1.171218,0.844160
61,1.196078,-0.628613,1.171184,0.844237
62,1.215686,-0.628648,1.171146,0.844312
63,1.235294,-0.628667,1.171060,0.844394
64,1.254902,-0.628715,1.171082,0.844435
65,1.274510,-0.628745,1.171050,0.844445
66,1.294118,-0.628782,1.171101,0.844409
67,1.313725,-0.628806,1.171132,0.844365
68,1.333333,-0.628772,1.171139,0.844292
69,1.352941,-0.628760,1.171182,0.844213
70,1.372549,-0.628676,1.171216,0.844125
71,1.392157,-0.628610,1.171230,0.844041
72,1.411765,-0.628572,1.171232,0.843995
73,1.431373,-0.628544,1.171204,0.843971
74,1.450980,-0.628560,1.171227,0.843959
75,1.470588,-0.628585,1.171227,0.843988
76,1.490196,-0.628625,1.171216,0.844058
77,1.509804,-0.628697,1.171204,0.844150
78,1.529412,-0.628710,1.171189,0.844223
79,1.549020,-0.628791,1.171230,0.844308
80,1.568627,-0.628810,1.171247,0.844371
81,1.588235,-0.628848,1.171269,0.844390
82,1.607843,-0.628883,1.171305,0.844391
83,1.627451,-0.628932,1.171388,0.844388
84,1.647059,-0.628973,1.171481,0.844348
85,1.666667,-0.628973,1.171553,0.844273
86,1.686275,-0.628953,1.171641,0.844187
87,1.705882,-0.628869,1.171758,0.844091
88,1.725490,-0.628791,1.171859,0.843987
89,1.745098,-0.628775,1.171967,0.843922
90,1.764706,-0.628768,1.172019,0.843895
91,1.784314,-0.628802,1.172105,0.843892
92,1.803922,-0.628865,1.172177,0.843930
93,1.823529,-0.628983,1.172260,0.844053
94,1.843137,-0.629152,1.172343,0.844176
95,1.862745,-0.629269,1.172393,0.844272
