Format Version,1.1,Take Name,Take 2024-07-23 01.09.45 PM,Capture Frame Rate,51.000000,Export Frame Rate,51.000000,Capture Start Time,2024-07-23 01.09.45.660 PM,Total Frames,52975,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,-0.759297,0.419074,0.740129
1,0.019608,-0.759268,0.419061,0.740137
2,0.039216,-0.759229,0.418935,0.740095
3,0.058824,-0.759205,0.418863,0.740100
4,0.078431,-0.759236,0.418859,0.740098
5,0.098039,-0.759229,0.418938,0.740118
6,0.117647,-0.759242,0.419042,0.740124
7,0.137255,-0.759302,0.419106,0.740130
8,0.156863,-0.759339,0.419157,0.740151
9,0.176471,-0.759302,0.419248,0.740149
10,0.196078,-0.759203,0.419289,0.740162
11,0.215686,-0.759160,0.419148,0.740147
12,0.235294,-0.759177,0.418970,0.740117
13,0.254902,-0.759162,0.418885,0.740116
14,0.274510,-0.759232,0.418901,0.740111
15,0.294118,-0.759289,0.418902,0.740113
16,0.313725,-0.759339,0.418967,0.740118
17,0.333333,-0.759339,0.419110,0.740136
18,0.352941,-0.759324,0.419240,0.740165
19,0.372549,-0.759292,0.419283,0.740183
20,0.392157,-0.759222,0.419236,0.740179
21,0.411765,-0.759161,0.419132,0.740166
22,0.431373,-0.759159,0.419013,0.740151
23,0.450980,-0.759184,0.418904,0.740132
24,0.470588,-0.759197,0.418879,0.740130
25,0.490196,-0.759273,0.418903,0.740108
26,0.509804,-0.759337,0.418988,0.740140
27,0.529412,-0.759367,0.419107,0.740141
28,0.549020,-0.759337,0.419166,0.740156
29,0.568627,-0.759265,0.419149,0.740155
30,0.588235,-0.759194,0.419104,0.740143
31,0.607843,-0.759138,0.419054,0.740135
32,0.627451,-0.759111,0.419014,0.740135
33,0.647059,-0.759159,0.418989,0.740130
34,0.666667,-0.759260,0.418945,0.740106
35,0.686275,-0.759314,0.418995,0.740120
36,0.705882,-0.759359,0.419043,0.740125
37,0.725490,-0.759350,0.419116,0.740154
38,0.745098,-0.759282,0.419147,0.740151
39,0.764706,-0.759223,0.419134,0.740152
40,0.784314,-0.759140,0.419075,0.740155
41,0.803922,-0.759097,0.419053,0.740157
42,0.823529,-0.759103,0.419057,0.740160
43,0.843137,-0.759154,0.419067,0.740141
44,0.862745,-0.759245,0.419082,0.740115
45,0.882353,-0.759335,0.419105,0.740127
46,0.901961,-0.759377,0.419166,0.740144
47,0.921569,-0.759357,0.419174,0.740152
48,0.941176,-0.759343,0.419047,0.740111
49,0.960784,-0.759210,0.418935,0.740152
50,0.980392,-0.759131,0.418955,0.740124
51,1.000000,-0.759090,0.419036,0.740146
52,1.019608,-0.759122,0.419032,0.740124
53,1.039216,-0.759194,0.419042,0.740128
54,1.058824,-0.759279,0.419099,0.740130
55,1.078431,-0.759342,0.419155,0.740140
56,1.098039,-0.759367,0.419140,0.740162
57,1.117647,-0.759359,0.419055,0.740142
58,1.137255,-0.759294,0.419021,0.740125
59,1.156863,-0.759191,0.418997,0.740143
60,1.176471,-0.759135,0.419001,0.740156
61,1.196078,-0.759117,0.418921,0.740126
62,1.215686,-0.759157,0.418890,0.740102
63,1.235294,-0.759251,0.418936,0.740115
64,1.254902,-0.759326,0.419028,0.740127
65,1.274510,-0.759380,0.419080,0.740142
66,1.294118,-0.759390,0.419114,0.740143
67,1.313725,-0.759364,0.419125,0.740133
68,1.333333,-0.759289,0.419085,0.740126
69,1.352941,-0.759176,0.419026,0.740119
70,1.372549,-0.759126,0.418978,0.740118
71,1.392157,-0.759109,0.418934,0.740120
72,1.411765,-0.759177,0.418913,0.740114
73,1.431373,-0.759270,0.418982,0.740106
74,1.450980,-0.759346,0.419077,0.740126
75,1.470588,-0.759398,0.419102,0.740120
76,1.490196,-0.759374,0.419068,0.740128
77,1.509804,-0.759327,0.419002,0.740112
78,1.529412,-0.759261,0.418962,0.740107
79,1.549020,-0.759177,0.418956,0.740121
80,1.568627,-0.759121,0.418947,0.740128
81,1.588235,-0.759151,0.418914,0.740117
82,1.607843,-0.759247,0.418895,0.740093
83,1.627451,-0.759286,0.418975,0.740116
84,1.647059,-0.759351,0.419077,0.740110
85,1.666667,-0.759352,0.419063,0.740123
86,1.686275,-0.759358,0.419022,0.740094
87,1.705882,-0.759306,0.418977,0.740096
88,1.725490,-0.759245,0.418957,0.740084
89,1.745098,-0.759185,0.418954,0.740097
90,1.764706,-0.759166,0.418950,0.740100
91,1.784314,-0.759183,0.419008,0.740103
92,1.803922,-0.759227,0.419105,0.740115
93,1.823529,-0.759302,0.419151,0.740119
94,1.843137,-0.759362,0.419163,0.740130
95,1.862745,-0.759372,0.419042,0.740115
